2025-06-06,S,141576
2025-06-06,A,107425
2025-06-06,B,81760
2025-06-06,C,75650
2025-06-06,D,61150
2025-06-07,S,141576
2025-06-07,A,107425
2025-06-07,B,81760
2025-06-07,C,75650
2025-06-07,D,61150
2025-06-08,S,141743
2025-06-08,A,107425
2025-06-08,B,81760
2025-06-08,C,75650
2025-06-08,D,61150
2025-06-09,S,141743
2025-06-09,A,107425
2025-06-09,B,84616
2025-06-09,C,75650
2025-06-09,D,61150
2025-06-10,S,141943
2025-06-10,A,98250
2025-06-10,B,84366
2025-06-10,C,74650
2025-06-10,D,61150
2025-06-11,S,141943
2025-06-11,A,98250
2025-06-11,B,84366
2025-06-11,C,74650
2025-06-11,D,61150
2025-06-12,S,141943
2025-06-12,A,98250
2025-06-12,B,84283
2025-06-12,C,73900
2025-06-12,D,61150
